"","X","proprietario","scale.TempoRelacionamento.","scale.idade.","scale.ScoreSerasa.","Quitaçãointegal","QuitaçãoParceladoDA","QuitaçãoParceladoExercicio","Pagamentparcial","Pagamentsem.pagamento","NaturezaDívidaFraude","NaturezaDívidaGrandeDevedor","AtrasoAnterior","RespSolidaria","negociaçãoanteior","scale.protestos.","scale.dividasexecutadas.","scale.dividasDA.","scale.regularidadeAcessorias.","scale.BencajudREnajud.","prescricao","precatResInd","saldodevedor","y"
"100",342,1,0.548030158796723,0.903132554223677,0.462700115432833,0,0,1,0,1,1,0,0,1,0,-1.01066096950339,-1.00491892038087,0.976753130094691,1.00516332864351,1.01323761584005,1,0,0.973062879405916,1
"101",343,0,0.319092837885735,-1.18942687773807,0.555943956848305,0,0,1,0,1,0,1,0,0,0,-0.0126744290635854,-1.00491892038087,-0.00996586181832143,1.00516332864351,1.01323761584005,0,1,0.35033354931511,0
"102",345,1,1.23484212152969,-0.223630216832651,-0.735655920536394,1,0,0,1,0,0,1,1,1,0,-0.0126744290635854,-1.00491892038087,1.9634721220077,1.00516332864351,-0.986836635719461,1,0,0.843785771401599,0
"103",347,1,0.891436140163206,1.54699699482729,-0.728748969320433,1,0,0,0,1,0,1,0,0,1,-1.01066096950339,2.01769664122191,-0.00996586181832143,-0.994763708052689,-0.986836635719461,1,1,0.276095434324816,0
"104",348,0,-0.253250464391735,0.0178189483937053,0.58702523732013,1,0,0,1,0,0,1,0,1,0,-0.0126744290635854,0.00261960015338913,-0.996684853731334,-0.994763708052689,-0.986836635719461,1,0,0.119851256487891,1
"105",355,1,0.834201809935459,-1.10894382266262,0.535223103200423,0,1,0,0,1,1,0,1,1,1,-1.01066096950339,0.00261960015338913,-0.00996586181832143,-0.994763708052689,1.01323761584005,0,0,0.356983577599749,1
"106",365,1,1.69271676335166,0.903132554223677,0.290026335033809,1,0,0,0,1,0,1,1,1,0,-1.01066096950339,0.00261960015338913,-0.00996586181832143,1.00516332864351,-0.986836635719461,1,0,0.89589596609585,1
"107",366,0,-1.74134305031316,0.500717278846417,0.124259505850746,0,0,1,1,0,1,0,0,0,0,0.985312111376215,-1.00491892038087,-0.996684853731334,1.00516332864351,-0.986836635719461,1,1,0.863634012872353,1
"108",372,1,1.46377944244068,-0.304113271908103,-0.56643561574535,0,0,1,1,0,0,1,1,0,1,1.98329865181602,1.01015812068765,0.976753130094691,1.00516332864351,-0.986836635719461,0,1,0.94990631332621,0
"109",373,1,1.17760779130194,0.259268113620061,0.497234871512637,0,0,1,0,1,1,0,1,1,1,-1.01066096950339,0.00261960015338913,-0.00996586181832143,1.00516332864351,-0.986836635719461,0,0,0.998605015687644,1
"110",374,0,-0.9400624271247,0.661683388997321,-0.815085859519945,0,1,0,1,0,1,0,0,0,0,0.985312111376215,0.00261960015338913,-0.00996586181832143,1.00516332864351,1.01323761584005,1,1,0.694744651671499,0
"111",377,0,-0.0815474737084941,0.259268113620061,-0.752923298576296,1,0,0,0,1,0,1,0,0,1,0.985312111376215,-1.00491892038087,-0.996684853731334,1.00516332864351,-0.986836635719461,0,1,0.114768029656261,0
"112",381,1,-0.424953455074976,0.0178189483937053,-1.2467703105175,0,0,1,0,1,1,0,1,0,1,-0.0126744290635854,1.01015812068765,-0.996684853731334,1.00516332864351,1.01323761584005,0,1,0.434936177218333,0
"113",384,1,0.834201809935459,0.581200333921869,-0.155472018395673,0,0,1,0,1,0,1,1,0,0,1.98329865181602,-1.00491892038087,0.976753130094691,-0.994763708052689,1.01323761584005,1,1,0.500765435630456,0
"114",385,1,0.032921186747,-0.545562437134458,0.15534078632257,0,0,1,0,1,0,1,0,1,1,0.985312111376215,-1.00491892038087,-0.00996586181832143,-0.994763708052689,1.01323761584005,0,0,0.476971488445997,0
"115",386,0,1.46377944244068,1.38603088467639,-0.34886665244258,1,0,0,1,0,0,1,0,1,1,-1.01066096950339,-1.00491892038087,-0.00996586181832143,-0.994763708052689,-0.986836635719461,1,1,0.874720660271123,1
"116",389,0,-0.310484794619482,-0.545562437134458,-0.790911530264081,0,1,0,1,0,1,0,1,1,1,-0.0126744290635854,2.01769664122191,-0.00996586181832143,1.00516332864351,-0.986836635719461,1,0,0.815926444716752,0
"117",390,0,0.319092837885735,-0.384596326983555,0.210596396050258,1,0,0,1,0,0,1,1,1,0,-0.0126744290635854,-1.00491892038087,-0.996684853731334,1.00516332864351,-0.986836635719461,1,0,0.398933532880619,1
"118",399,0,0.776967479707712,1.30554782960094,-0.355773603658541,0,1,0,1,0,1,0,1,0,0,0.985312111376215,0.00261960015338913,-0.996684853731334,-0.994763708052689,1.01323761584005,1,1,0.946322743082419,1
"119",405,1,1.29207645175744,-0.62604549220991,0.528316151984462,1,0,0,0,1,0,1,0,1,0,0.985312111376215,-1.00491892038087,-0.00996586181832143,-0.994763708052689,-0.986836635719461,0,0,0.385561866452917,1
"120",408,1,1.12037346107419,0.822649499148225,-1.13971256667011,0,0,1,1,0,0,1,0,1,1,-1.01066096950339,0.00261960015338913,0.976753130094691,1.00516332864351,1.01323761584005,0,1,0.246006580535322,0
"121",409,1,0.376327168113482,1.54699699482729,0.904744993254334,0,1,0,1,0,1,0,0,0,0,-0.0126744290635854,1.01015812068765,-0.996684853731334,-0.994763708052689,-0.986836635719461,1,1,0.285424091620371,1
"122",416,1,0.433561498341229,-0.62604549220991,-0.214181103731341,0,1,0,1,0,0,1,0,1,1,-0.0126744290635854,2.01769664122191,-0.00996586181832143,1.00516332864351,1.01323761584005,1,1,0.646637340541929,0
"123",417,1,1.34931078198518,1.46651393975184,-1.21914250565366,1,0,0,0,1,0,1,0,1,1,0.985312111376215,-1.00491892038087,-0.996684853731334,-0.994763708052689,1.01323761584005,0,1,0.4950785797555,1
"124",419,0,-1.16899974803569,0.903132554223677,-1.09136390815838,0,0,1,0,1,0,1,1,0,0,-0.0126744290635854,1.01015812068765,-0.996684853731334,-0.994763708052689,-0.986836635719461,1,0,0.272726143710315,0
"125",422,1,-1.56964005962992,0.420234223770965,0.915105420078275,1,0,0,0,1,1,0,1,0,1,0.985312111376215,-1.00491892038087,0.976753130094691,1.00516332864351,-0.986836635719461,0,1,0.816518700681627,1
